"caseid","weight","wave","state","district","n7ay23","n7by23","n7cy23","n7dy23","n7ey23","n7fy23","n7gy23","n7hy23","n7iy23","n7ky23","n7ly23","urban","gender","age","caste","n7ay23_recode","n7by23_recode","n7cy23_recode","n7dy23_recode","n7ey23_recode","n7fy23_recode","n7gy23_recode","n7hy23_recode","n7iy23_recode","n7ky23_recode","n7ly23_recode","state_district_survey"
13682,0.8505537971,2024,"Gujarat","Dahod","Not very worried","Very worried","Moderately worried","Not at all worried","Very worried","Very worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","30-44","Scheduled Castes/Tribes",0,1,0,0,1,1,0,1,0,0,0,"Gujarat, Dahod"
13683,1.09071016334,2024,"Delhi","Shahdara","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Not very worried","Not at all worried","Not at all worried","Moderately worried","Urban","Male","45+","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"Delhi, Shahdara"
13684,0.7004560682,2024,"Punjab","Patiala","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Male","30-44","Other Castes",1,1,1,1,1,0,1,1,1,0,1,"Punjab, Patiala"
13685,0.81052773606,2024,"Bihar","Sitamarhi","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","18-29","Other Castes",1,0,1,0,1,1,1,1,0,0,0,"Bihar, Sitamarhi"
13686,0.86056031236,2024,"Gujarat","Devbhoomi Dwarka","Moderately worried","Very worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Moderately worried","Rural","Male","30-44","Other Castes",0,1,1,0,0,0,0,0,0,1,0,"Gujarat, Devbhoomi Dwarka"
13687,1.53099683478,2024,"Madhya Pradesh","Rewa","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","45+","Other Castes",1,1,0,1,1,1,1,1,1,1,1,"Madhya Pradesh, Rewa"
13688,3.32216306632,2024,"Maharashtra","Beed","Very worried","Very worried","Very worried","Not very worried","Very worried","Not at all worried","Not at all worried","Very worried","Very worried","Very worried","Not very worried","Rural","Male","18-29","Other Castes",1,1,1,0,1,0,0,1,1,1,0,"Maharashtra, Beed"
13689,0.43028015618,2024,"Gujarat","Kutch","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Not very worried","Not at all worried","Very worried","Rural","Male","30-44","Other Castes",0,1,1,0,1,0,1,1,0,0,1,"Gujarat, Kutch"
13691,0.84054728184,2024,"Maharashtra","Osmanabad","Not at all worried","Very worried","Not very worried","Very worried","Very worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",0,1,0,1,1,0,0,1,0,1,1,"Maharashtra, Osmanabad"
13692,0.7504886445,2024,"Maharashtra","Yavatmal","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Rural","Female","30-44","Scheduled Castes/Tribes",1,0,1,1,0,1,1,1,0,0,1,"Maharashtra, Yavatmal"
13693,0.8505537971,2024,"Gujarat","Kutch","Moderately worried","Very worried","Moderately worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Male","45+","Other Castes",0,1,0,1,0,0,0,1,1,0,1,"Gujarat, Kutch"
13694,0.68044303768,2024,"Gujarat","Anand","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Anand"
13695,0.94061243444,2024,"Bihar","Purvi Champaran","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Rural","Male","18-29","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,0,1,1,"Bihar, Purvi Champaran"
13696,0.84054728184,2024,"Delhi","Central Delhi","Not at all worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Urban","Male","30-44","Other Castes",0,1,0,0,0,0,1,0,0,0,1,"Delhi, Central Delhi"
13697,0.97063198022,2024,"Gujarat","Vadodara","Very worried","Moderately worried","Very worried","Not at all worried","Very worried","Not at all worried","Very worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Urban","Male","45+","Other Castes",1,0,1,0,1,0,1,0,0,0,0,"Gujarat, Vadodara"
13698,0.86056031236,2024,"Gujarat","Dang","Moderately worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Very worried","Very worried","Not at all worried","Not at all worried","Moderately worried","Rural","Male","18-29","Other Castes",0,1,0,0,0,0,1,1,0,0,0,"Gujarat, Dang"
13699,1.8011727468,2024,"Gujarat","Junagadh","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Rural","Male","18-29","Other Castes",1,1,0,1,0,1,1,0,1,1,0,"Gujarat, Junagadh"
13700,1.1007166786,2024,"Gujarat","Surat","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","45+","Other Castes",1,1,1,0,1,1,1,1,1,1,1,"Gujarat, Surat"
13701,0.72046909872,2024,"Rajasthan","Rajsamand","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not very worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,1,0,1,"Rajasthan, Rajsamand"
13702,0.52033879352,2024,"Gujarat","Botad","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Urban","Male","30-44","Other Castes",0,1,1,1,1,1,1,1,0,1,1,"Gujarat, Botad"
13703,1.44093819744,2024,"Kerala","Malappuram","Not very worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Rural","Female","30-44","Other Castes",0,0,0,0,0,0,0,0,0,0,0,"Kerala, Malappuram"
13704,1.22079486172,2024,"Gujarat","Morbi","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Rural","Male","45+","Other Castes",1,1,0,0,1,1,1,1,1,0,1,"Gujarat, Morbi"
13705,1.000651526,2024,"Gujarat","Banaskantha","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","18-29","Other Castes",1,1,1,1,1,1,0,1,1,1,1,"Gujarat, Banaskantha"
13706,1.26082092276,2024,"Maharashtra","Satara","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","18-29","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Maharashtra, Satara"
13707,0.68044303768,2024,"Gujarat","Banaskantha","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Moderately worried","Rural","Male","30-44","Other Castes",0,0,0,0,1,0,0,0,0,1,0,"Gujarat, Banaskantha"
13708,0.7504886445,2024,"Gujarat","Mahisagar","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Scheduled Castes/Tribes",1,1,1,1,1,1,0,1,1,1,1,"Gujarat, Mahisagar"
13709,0.89057985814,2024,"Gujarat","Banaskantha","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Very worried","Rural","Female","18-29","Other Castes",0,1,1,0,1,1,0,1,0,0,1,"Gujarat, Banaskantha"
13710,0.57037136982,2024,"Gujarat","Vadodara","Not very worried","Very worried","Not at all worried","Not very worried","Not very worried","Very worried","Very worried","Not at all worried","Not very worried","Not very worried","Very worried","Urban","Male","30-44","Other Castes",0,1,0,0,0,1,1,0,0,0,1,"Gujarat, Vadodara"
13711,0.99064501074,2024,"Gujarat","Jamnagar","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Rural","Male","18-29","Other Castes",1,1,0,1,1,1,1,1,1,0,1,"Gujarat, Jamnagar"
13712,0.76049515976,2024,"Tamil Nadu","Cuddalore","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Don't know","Urban","Female","30-44","Other Castes",1,0,1,0,0,1,1,1,1,0,0,"Tamil Nadu, Cuddalore"
13713,1.37089259062,2024,"Tamil Nadu","Tiruchirappalli","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Female","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Tamil Nadu, Tiruchirappalli"
13714,1.04067758704,2024,"Madhya Pradesh","Sagar","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Rural","Male","18-29","Other Castes",1,1,1,1,0,1,1,1,1,1,0,"Madhya Pradesh, Sagar"
13715,0.67043652242,2024,"Gujarat","Tapi","Not at all worried","Moderately worried","Moderately worried","Very worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","30-44","Scheduled Castes/Tribes",0,0,0,1,1,0,0,0,0,0,0,"Gujarat, Tapi"
13716,0.86056031236,2024,"Gujarat","Amreli","Very worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",1,1,0,0,0,1,1,0,1,0,1,"Gujarat, Amreli"
13717,0.63041046138,2024,"Gujarat","Amreli","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Rural","Male","18-29","Other Castes",1,1,0,1,1,0,0,1,0,1,1,"Gujarat, Amreli"
13718,0.73047561398,2024,"Tamil Nadu","Tiruvallur","Very worried","Not at all worried","Very worried","Very worried","Don't know","Very worried","Very worried","Don't know","Very worried","Very worried","Very worried","Urban","Female","45+","Other Castes",1,0,1,1,0,1,1,0,1,1,1,"Tamil Nadu, Tiruvallur"
13720,0.68044303768,2024,"Gujarat","Dahod","Moderately worried","Not very worried","Not at all worried","Not at all worried","Very worried","Very worried","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Rural","Male","30-44","Other Castes",0,0,0,0,1,1,0,0,0,0,1,"Gujarat, Dahod"
13721,0.74048212924,2024,"Kerala","Kollam","Moderately worried","Very worried","Not very worried","Moderately worried","Very worried","Moderately worried","Very worried","Not at all worried","Moderately worried","Very worried","Very worried","Rural","Female","18-29","Other Castes",0,1,0,0,1,0,1,0,0,1,1,"Kerala, Kollam"
13722,0.73047561398,2024,"Uttar Pradesh","Chandauli","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","45+","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Uttar Pradesh, Chandauli"
13723,0.66043000716,2024,"Maharashtra","Jalgaon","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Female","30-44","Other Castes",1,1,1,1,1,1,1,1,1,0,1,"Maharashtra, Jalgaon"
13724,1.27082743802,2024,"Delhi","Shahdara","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Not very worried","Moderately worried","Urban","Male","30-44","Other Castes",0,1,0,1,1,1,0,1,0,0,0,"Delhi, Shahdara"
13725,0.61039743086,2024,"Gujarat","Ahmedabad","Not at all worried","Moderately worried","Not at all worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Not at all worried","Very worried","Urban","Male","45+","Other Castes",0,0,0,1,1,1,1,0,1,0,1,"Gujarat, Ahmedabad"
13726,3.3021500358,2024,"Rajasthan","Barmer","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","18-29","Other Castes",1,0,1,0,1,1,1,1,1,1,1,"Rajasthan, Barmer"
13727,0.4002606104,2024,"Maharashtra","Pune","Moderately worried","Very worried","Not very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Moderately worried","Moderately worried","Very worried","Urban","Female","45+","Other Castes",0,1,0,1,1,0,1,1,0,0,1,"Maharashtra, Pune"
13728,0.86056031236,2024,"Gujarat","Surat","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Rural","Male","18-29","Scheduled Castes/Tribes",0,0,0,0,0,1,0,0,0,0,0,"Gujarat, Surat"
13729,0.7504886445,2024,"Gujarat","Narmada","Not very worried","Very worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Very worried","Very worried","Moderately worried","Not very worried","Very worried","Rural","Male","30-44","Scheduled Castes/Tribes",0,1,0,0,1,0,1,1,0,0,1,"Gujarat, Narmada"
13730,0.98063849548,2024,"Bihar","Bhagalpur","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","45+","Other Castes",0,1,0,0,0,0,1,1,1,1,1,"Bihar, Bhagalpur"
13731,0.98063849548,2024,"Gujarat","Vadodara","Very worried","Very worried","Not at all worried","Not at all worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Not at all worried","Moderately worried","Urban","Male","45+","Scheduled Castes/Tribes",1,1,0,0,1,0,1,1,1,0,0,"Gujarat, Vadodara"
13732,1.28083395328,2024,"Gujarat","Kheda","Moderately worried","Moderately worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Very worried","Very worried","Moderately worried","Rural","Male","45+","Other Castes",0,0,1,1,0,1,0,0,1,1,0,"Gujarat, Kheda"
13733,0.6504234919,2024,"Bihar","Katihar","Very worried","Not at all worried","Very worried","Not very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Not at all worried","Not at all worried","Rural","Male","30-44","Other Castes",1,0,1,0,1,0,1,1,1,0,0,"Bihar, Katihar"
13734,0.53034530878,2024,"Uttar Pradesh","Pratapgarh","Moderately worried","Not very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Not at all worried","Very worried","Rural","Male","45+","Other Castes",0,0,0,0,0,0,1,0,0,0,1,"Uttar Pradesh, Pratapgarh"
13735,0.6003909156,2024,"Tamil Nadu","Vellore","Not at all worried","Very worried","Don't know","Not at all worried","Not at all worried","Not at all worried","Not very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Urban","Female","18-29","Scheduled Castes/Tribes",0,1,0,0,0,0,0,0,0,0,0,"Tamil Nadu, Vellore"
13737,0.87056682762,2024,"Maharashtra","Satara","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Female","45+","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Maharashtra, Satara"
13738,0.67043652242,2024,"Delhi","South East Delhi","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Male","45+","Other Castes",1,1,1,1,1,0,1,1,1,0,1,"Delhi, South East Delhi"
13739,0.67043652242,2024,"Gujarat","Aravalli","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Gujarat, Aravalli"
13740,0.79051470554,2024,"Delhi","North West Delhi","Very worried","Very worried","Not at all worried","Very worried","Not at all worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Urban","Male","45+","Other Castes",1,1,0,1,0,1,0,1,0,1,1,"Delhi, North West Delhi"
13741,0.43028015618,2024,"Gujarat","Tapi","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Scheduled Castes/Tribes",1,0,1,1,1,1,1,1,1,1,1,"Gujarat, Tapi"
13742,0.67043652242,2024,"Delhi","South Delhi","Very worried","Not very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Not very worried","Very worried","Very worried","Urban","Male","45+","Other Castes",1,0,1,1,0,1,1,1,0,1,1,"Delhi, South Delhi"
13743,1.000651526,2024,"Tamil Nadu","Vellore","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Not at all worried","Rural","Female","30-44","Scheduled Castes/Tribes",1,1,1,1,1,1,1,1,1,0,0,"Tamil Nadu, Vellore"
13745,1.52099031952,2024,"Delhi","North East Delhi","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Not at all worried","Very worried","Not very worried","Not at all worried","Not very worried","Not very worried","Urban","Male","30-44","Other Castes",0,0,0,0,0,0,1,0,0,0,0,"Delhi, North East Delhi"
13746,1.58102941108,2024,"Uttar Pradesh","Farrukhabad","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Rural","Male","45+","Other Castes",1,0,1,1,1,1,1,1,1,0,1,"Uttar Pradesh, Farrukhabad"
13747,0.49031924774,2024,"Bihar","Munger","Moderately worried","Very worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Moderately worried","Urban","Male","45+","Scheduled Castes/Tribes",0,1,0,0,1,0,0,0,0,0,0,"Bihar, Munger"
13748,0.67043652242,2024,"Uttar Pradesh","Gautam Buddh Nagar","Moderately worried","Very worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Moderately worried","Not very worried","Not at all worried","Rural","Male","18-29","Other Castes",0,1,0,0,0,0,0,1,0,0,0,"Uttar Pradesh, Gautam Buddh Nagar"
13749,1.02066455652,2024,"Uttarakhand","Nainital","Moderately worried","Very worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Rural","Male","30-44","Other Castes",0,1,0,0,0,0,0,0,0,0,0,"Uttarakhand, Nainital"
13750,0.68044303768,2024,"Kerala","Kannur","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Male","45+","Other Castes",1,0,1,1,1,1,1,1,1,1,1,"Kerala, Kannur"
13751,0.77050167502,2024,"Uttar Pradesh","Budaun","Moderately worried","Moderately worried","Very worried","Very worried","Not very worried","Very worried","Moderately worried","Very worried","Moderately worried","Very worried","Very worried","Rural","Male","18-29","Other Castes",0,0,1,1,0,1,0,1,0,1,1,"Uttar Pradesh, Budaun"
13752,1.73112713998,2024,"Delhi","North Delhi","Very worried","Very worried","Very worried","Moderately worried","Very worried","Not at all worried","Not very worried","Not very worried","Not very worried","Very worried","Very worried","Rural","Male","45+","Other Castes",1,1,1,0,1,0,0,0,0,1,1,"Delhi, North Delhi"
13754,1.09071016334,2024,"Maharashtra","Sangli","Not very worried","Very worried","Not very worried","Very worried","Very worried","Not at all worried","Not very worried","Very worried","Not very worried","Not very worried","Not at all worried","Rural","Female","30-44","Other Castes",0,1,0,1,1,0,0,1,0,0,0,"Maharashtra, Sangli"
13755,1.08070364808,2024,"Uttar Pradesh","Allahabad","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Very worried","Moderately worried","Rural","Male","18-29","Other Castes",0,1,1,1,1,1,0,0,0,1,0,"Uttar Pradesh, Allahabad"
13756,1.24080789224,2024,"Uttar Pradesh","Lakhimpur Kheri","Moderately worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Very worried","Not at all worried","Moderately worried","Very worried","Rural","Male","18-29","Scheduled Castes/Tribes",0,0,0,0,0,0,0,1,0,0,1,"Uttar Pradesh, Lakhimpur Kheri"
13758,1.41091865166,2024,"Gujarat","Rajkot","Not at all worried","Very worried","Very worried","Very worried","Not at all worried","Not at all worried","Very worried","Very worried","Not very worried","Not at all worried","Very worried","Urban","Male","45+","Other Castes",0,1,1,1,0,0,1,1,0,0,1,"Gujarat, Rajkot"
13759,0.7004560682,2024,"Kerala","Kollam","Not at all worried","Not very worried","Don't know","Very worried","Very worried","Not at all worried","Not very worried","Not at all worried","Not at all worried","Very worried","Not at all worried","Rural","Female","45+","Other Castes",0,0,0,1,1,0,0,0,0,1,0,"Kerala, Kollam"
13760,1.21078834646,2024,"Himachal Pradesh","Kangra","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","45+","Other Castes",1,0,1,1,1,1,1,1,1,1,1,"Himachal Pradesh, Kangra"
13761,1.1007166786,2024,"Delhi","North Delhi","Not at all worried","Very worried","Not at all worried","Very worried","Very worried","Not at all worried","Very worried","Not very worried","Not at all worried","Not at all worried","Very worried","Rural","Male","30-44","Other Castes",0,1,0,1,1,0,1,0,0,0,1,"Delhi, North Delhi"
13762,1.2508144075,2024,"Maharashtra","Nagpur","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Urban","Female","45+","Other Castes",1,1,1,1,1,1,1,1,1,1,1,"Maharashtra, Nagpur"
13763,1.61104895686,2024,"Maharashtra","Sangli","Not very worried","Not very worried","Very worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Very worried","Very worried","Very worried","Not at all worried","Rural","Female","45+","Other Castes",0,0,1,0,0,0,0,1,1,1,0,"Maharashtra, Sangli"
13765,0.5503583393,2024,"Delhi","South East Delhi","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Rural","Male","45+","Other Castes",1,1,1,1,1,0,1,1,1,0,1,"Delhi, South East Delhi"
13766,0.8005212208,2024,"Kerala","Kollam","Not at all worried","Not at all worried","Not at all worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Rural","Female","45+","Other Castes",0,0,0,1,1,0,1,1,1,0,1,"Kerala, Kollam"
13768,2.52164184552,2024,"Uttar Pradesh","Aligarh","Moderately worried","Very worried","Very worried","Moderately worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Urban","Male","30-44","Other Castes",0,1,1,0,0,0,0,1,0,0,0,"Uttar Pradesh, Aligarh"
13769,0.81052773606,2024,"Bihar","Purvi Champaran","Moderately worried","Moderately worried","Not at all worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Rural","Male","30-44","Other Castes",0,0,0,1,1,0,1,0,0,0,0,"Bihar, Purvi Champaran"
13770,0.78050819028,2024,"Kerala","Kasaragod","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Very worried","Moderately worried","Rural","Male","45+","Other Castes",0,0,0,0,0,0,0,0,0,1,0,"Kerala, Kasaragod"
13771,0.58037788508,2024,"Delhi","South West Delhi","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Not at all worried","Very worried","Moderately worried","Don't know","Moderately worried","Very worried","Urban","Male","45+","Other Castes",0,1,1,1,0,0,1,0,0,0,1,"Delhi, South West Delhi"
13772,0.7004560682,2024,"Delhi","North East Delhi","Not at all worried","Moderately worried","Moderately worried","Moderately worried","Don't know","Moderately worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Urban","Female","45+","Other Castes",0,0,0,0,0,0,1,0,0,0,1,"Delhi, North East Delhi"
13773,0.97063198022,2024,"Tamil Nadu","Tiruvarur","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not very worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","45+","Scheduled Castes/Tribes",0,0,0,0,0,0,0,0,0,0,0,"Tamil Nadu, Tiruvarur"
13774,0.58037788508,2024,"Delhi","North West Delhi","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Urban","Male","45+","Other Castes",1,1,1,1,1,1,1,1,1,0,1,"Delhi, North West Delhi"
13775,0.84054728184,2024,"Delhi","South East Delhi","Very worried","Very worried","Very worried","Moderately worried","Very worried","Moderately worried","Moderately worried","Very worried","Moderately worried","Very worried","Moderately worried","Urban","Male","30-44","Other Castes",1,1,1,0,1,0,0,1,0,1,0,"Delhi, South East Delhi"
13776,1.24080789224,2024,"Uttar Pradesh","Shahjahanpur","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Moderately worried","Very worried","Not at all worried","Rural","Male","18-29","Other Castes",1,1,1,1,1,1,1,1,0,1,0,"Uttar Pradesh, Shahjahanpur"
13777,0.49031924774,2024,"Bihar","Nalanda","Moderately worried","Moderately worried","Very worried","Very worried","Very worried","Moderately worried","Moderately worried","Moderately worried","Not at all worried","Very worried","Moderately worried","Urban","Male","30-44","Other Castes",0,0,1,1,1,0,0,0,0,1,0,"Bihar, Nalanda"
13778,1.5510098653,2024,"Maharashtra","Solapur","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Not at all worried","Very worried","Very worried","Very worried","Rural","Female","30-44","Other Castes",1,1,1,1,1,1,1,0,1,1,1,"Maharashtra, Solapur"
13780,1.2007818312,2024,"Madhya Pradesh","Tikamgarh","Moderately worried","Moderately worried","Very worried","Very worried","Moderately worried","Not at all worried","Moderately worried","Very worried","Moderately worried","Very worried","Moderately worried","Rural","Male","18-29","Other Castes",0,0,1,1,0,0,0,1,0,1,0,"Madhya Pradesh, Tikamgarh"
13781,0.43028015618,2024,"Maharashtra","Nanded","Very worried","Moderately worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Rural","Male","30-44","Scheduled Castes/Tribes",1,0,1,1,1,1,1,1,1,1,1,"Maharashtra, Nanded"
13782,1.28083395328,2024,"Assam","Karbi Anglong","Moderately worried","Very worried","Moderately worried","Not at all worried","Very worried","Very worried","Moderately worried","Very worried","Very worried","Not at all worried","Very worried","Urban","Male","18-29","Other Castes",0,1,0,0,1,1,0,1,1,0,1,"Assam, Karbi Anglong"
13783,0.97063198022,2024,"Tamil Nadu","Nagapattinam","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Moderately worried","Moderately worried","Not at all worried","Not at all worried","Not at all worried","Rural","Male","45+","Scheduled Castes/Tribes",0,0,0,0,0,0,0,0,0,0,0,"Tamil Nadu, Nagapattinam"
13785,1.06069061756,2024,"Uttar Pradesh","Gonda","Moderately worried","Moderately worried","Not at all worried","Very worried","Very worried","Very worried","Not at all worried","Moderately worried","Not at all worried","Not at all worried","Moderately worried","Rural","Male","30-44","Other Castes",0,0,0,1,1,1,0,0,0,0,0,"Uttar Pradesh, Gonda"
